crime	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
"Attempts or threats to murder, assaults, harassments and related offences "	17665	19150	18353	17703	17062	15710	14502	15165	16968	3858	13687
Dangerous or negligent acts	19587	15532	12093	9946	9051	7660	7298	7218	1790	14720	19280
Kidnapping and related offences 	77	146	134	109	101	124	124	153	33	74	74
"Robbery, extortion and hijacking offences"	2299	2491	3196	2931	2817	2806	2647	2575	572	2717	2424
Burglary and related offences	24682	26910	25420	27695	28133	26218	27635	26253	5011	26381	24788
Theft and related offences	76861	77031	76826	76974	76402	78737	77697	75911	16374	73076	74494
"Fraud, deception and related offences "	5410	4947	4988	5370	5790	4824	5182	5597	1207	4012	4176
Controlled drug offences	23404	21982	20004	17695	16450	15372	15915	15119	3763	13316	14220
Weapons and Explosives Offences	4016	4064	4099	3483	3038	2750	2479	2371	521	2558	3119
Damage to property and to the environment 	44626	42330	39369	35573	32428	28913	27394	26070	5637	39727	43582
Public order and other social code offences	61820	57351	54941	49060	43861	36453	32639	33281	7077	55479	56615
"Offences against government, justice procedures and organisation of crime"	13255	11898	11397	10173	9445	9187	9767	11280	2735	7792	9482
